iter	Passed	Remaining
0	10	5214
1	19	4945
2	29	4884
3	39	4883
4	49	4869
5	60	4949
6	71	5011
7	81	5030
8	92	5053
9	103	5076
10	114	5088
11	125	5091
12	136	5129
13	147	5131
14	158	5134
15	169	5142
16	181	5167
17	193	5193
18	205	5202
19	217	5210
20	227	5200
21	238	5187
22	249	5176
23	260	5169
24	272	5185
25	284	5191
26	296	5200
27	307	5188
28	318	5175
29	329	5162
30	340	5151
31	351	5141
32	362	5128
33	373	5115
34	383	5099
35	394	5087
36	405	5077
37	416	5067
38	427	5057
39	438	5045
40	449	5035
41	460	5024
42	471	5013
43	482	4997
44	493	4990
45	504	4976
46	515	4964
47	526	4954
48	537	4944
49	550	4951
50	561	4939
51	572	4928
52	582	4916
53	594	4906
54	604	4893
55	615	4882
56	626	4870
57	637	4860
58	648	4848
59	659	4839
60	671	4835
61	683	4832
62	695	4824
63	707	4819
64	718	4807
65	729	4794
66	740	4782
67	751	4776
68	763	4771
69	774	4759
70	786	4750
71	796	4735
72	808	4726
73	818	4714
74	829	4702
75	840	4689
76	851	4677
77	862	4664
78	872	4651
79	883	4637
80	893	4621
81	903	4608
82	914	4595
83	924	4580
84	935	4568
85	946	4554
86	956	4540
87	966	4526
88	977	4514
89	987	4498
90	998	4486
91	1008	4472
92	1019	4460
93	1029	4445
94	1040	4434
95	1050	4420
96	1060	4407
97	1071	4395
98	1082	4382
99	1092	4369
100	1102	4357
101	1113	4345
102	1124	4332
103	1134	4319
104	1145	4308
105	1155	4295
106	1165	4282
107	1176	4271
108	1187	4259
109	1198	4248
110	1208	4235
111	1218	4220
112	1228	4207
113	1239	4196
114	1249	4183
115	1259	4170
116	1270	4157
117	1281	4148
118	1293	4139
119	1303	4127
120	1314	4116
121	1324	4102
122	1334	4089
123	1345	4078
124	1355	4066
125	1366	4055
126	1376	4041
127	1386	4029
128	1397	4018
129	1407	4006
130	1417	3994
131	1428	3983
132	1439	3972
133	1450	3960
134	1460	3948
135	1470	3936
