iter	Passed	Remaining
0	13	6946
1	19	4877
2	30	5060
3	41	5200
4	52	5244
5	64	5320
6	75	5349
7	86	5343
8	97	5341
9	105	5161
10	115	5120
11	123	5017
12	130	4897
13	139	4855
14	149	4828
15	157	4769
16	167	4755
17	175	4709
18	180	4561
19	188	4531
20	196	4489
21	203	4412
22	210	4356
23	218	4334
24	226	4312
25	231	4217
26	240	4207
27	249	4210
28	254	4138
29	265	4157
30	272	4120
31	281	4123
32	293	4148
33	298	4085
34	308	4095
35	318	4108
36	328	4106
37	337	4103
38	346	4093
39	348	4011
40	357	4002
41	365	3985
42	372	3953
43	378	3919
44	379	3842
45	382	3771
46	383	3694
47	390	3673
48	396	3653
49	403	3629
50	406	3579
51	413	3561
52	422	3560
53	428	3539
54	434	3514
55	435	3454
56	442	3436
57	448	3421
58	455	3405
59	461	3385
60	465	3350
61	471	3331
62	473	3284
63	479	3267
64	485	3250
65	491	3233
66	497	3214
67	503	3196
68	508	3179
69	512	3149
70	518	3133
71	522	3106
72	528	3092
73	534	3077
74	541	3071
75	548	3062
76	553	3038
77	560	3031
78	569	3037
79	577	3032
80	581	3010
81	589	3003
82	597	2999
83	604	2993
84	611	2983
85	618	2976
86	626	2973
87	633	2964
88	636	2937
89	642	2926
90	648	2915
91	655	2905
92	662	2899
93	671	2898
94	680	2898
95	689	2902
96	698	2903
97	706	2898
98	713	2891
99	720	2881
100	727	2874
101	736	2873
102	745	2874
103	755	2877
104	765	2879
105	767	2852
106	777	2856
107	784	2848
108	792	2844
109	801	2842
110	810	2841
111	820	2843
112	830	2845
113	840	2846
114	850	2848
115	861	2851
116	869	2847
117	879	2847
118	887	2842
119	895	2836
120	903	2830
121	911	2823
122	919	2818
123	927	2811
124	935	2806
125	945	2805
126	954	2804
127	964	2803
128	972	2796
129	979	2786
130	986	2777
131	993	2769
132	1000	2760
133	1008	2754
134	1015	2744
135	1021	2735
136	1028	2724
137	1034	2714
138	1041	2704
139	1048	2696
140	1056	2690
141	1063	2681
142	1070	2671
143	1077	2662
144	1083	2653
145	1091	2646
146	1098	2637
147	1104	2627
148	1111	2617
149	1118	2609
150	1125	2600
151	1131	2591
152	1139	2584
153	1148	2580
154	1155	2572
155	1163	2564
156	1172	2561
157	1179	2552
158	1187	2545
159	1195	2540
160	1201	2530
161	1209	2524
162	1216	2515
163	1223	2507
164	1232	2501
165	1238	2492
166	1245	2482
167	1251	2473
168	1257	2463
169	1264	2454
170	1270	2445
171	1277	2435
172	1284	2427
173	1291	2418
174	1297	2410
175	1304	2400
176	1310	2392
177	1317	2382
178	1324	2374
179	1332	2368
180	1339	2359
181	1345	2350
182	1352	2343
183	1359	2334
184	1366	2326
185	1374	2320
186	1381	2311
187	1387	2303
188	1394	2294
189	1400	2285
190	1407	2276
191	1413	2268
192	1420	2259
193	1427	2251
194	1434	2242
195	1441	2235
196	1447	2226
197	1454	2218
198	1463	2213
199	1473	2209
200	1481	2203
201	1489	2197
202	1497	2191
203	1507	2186
204	1516	2182
205	1525	2176
206	1533	2171
207	1542	2165
208	1550	2158
209	1559	2153
210	1568	2148
211	1578	2143
212	1586	2138
213	1595	2132
214	1603	2125
215	1611	2118
216	1618	2110
217	1624	2101
218	1631	2093
219	1637	2084
220	1643	2075
221	1651	2067
222	1657	2058
223	1663	2049
224	1670	2041
225	1677	2033
226	1683	2025
227	1690	2017
228	1697	2008
229	1703	1999
230	1709	1991
231	1716	1982
232	1722	1974
233	1731	1968
234	1739	1961
235	1750	1957
236	1759	1952
237	1765	1944
238	1772	1935
239	1779	1927
240	1785	1918
241	1791	1910
242	1798	1901
243	1804	1893
244	1810	1884
245	1816	1875
246	1823	1867
247	1829	1858
248	1835	1850
249	1841	1841
250	1847	1833
251	1854	1824
252	1860	1816
253	1866	1807
254	1872	1799
255	1879	1790
256	1885	1782
257	1891	1773
258	1897	1765
259	1903	1756
260	1909	1748
261	1915	1739
262	1921	1731
263	1927	1723
264	1933	1714
265	1939	1706
266	1945	1697
267	1951	1689
268	1957	1681
269	1963	1672
270	1969	1664
271	1976	1656
272	1982	1648
273	1988	1639
274	1994	1632
275	2002	1624
276	2008	1616
277	2013	1608
278	2021	1600
279	2026	1592
280	2033	1584
281	2039	1576
282	2045	1568
283	2051	1560
284	2057	1552
285	2064	1544
286	2070	1536
287	2076	1528
288	2083	1521
289	2091	1514
290	2098	1507
291	2105	1499
292	2113	1493
293	2120	1485
294	2127	1478
295	2134	1471
296	2142	1464
297	2151	1458
298	2159	1451
299	2168	1445
300	2175	1438
301	2184	1431
302	2192	1425
303	2200	1418
304	2209	1412
305	2218	1406
306	2227	1400
307	2234	1392
308	2242	1386
309	2250	1379
310	2258	1372
311	2265	1365
312	2273	1358
313	2282	1351
314	2289	1344
315	2296	1337
316	2304	1330
317	2312	1323
318	2321	1317
319	2331	1311
320	2340	1305
321	2347	1297
322	2353	1289
323	2361	1282
324	2369	1276
325	2378	1269
326	2384	1261
327	2391	1254
328	2398	1246
329	2406	1239
330	2415	1233
331	2424	1226
332	2433	1220
333	2442	1214
334	2452	1207
335	2460	1200
336	2467	1193
337	2474	1185
338	2480	1178
339	2486	1170
340	2493	1162
341	2499	1154
342	2505	1146
343	2511	1139
344	2518	1131
345	2525	1123
346	2531	1116
347	2538	1108
348	2545	1101
349	2552	1093
350	2560	1086
351	2567	1079
352	2576	1072
353	2584	1065
354	2591	1058
355	2599	1051
356	2606	1043
357	2613	1036
358	2621	1029
359	2629	1022
360	2637	1015
361	2646	1008
362	2656	1002
363	2665	995
364	2673	988
365	2682	982
366	2689	974
367	2697	967
368	2704	960
369	2711	952
370	2719	945
371	2726	938
372	2735	931
373	2744	924
374	2751	917
375	2757	909
376	2764	901
377	2770	894
378	2778	887
379	2786	880
380	2794	872
381	2802	865
382	2810	858
383	2817	851
384	2824	843
385	2831	836
386	2837	828
387	2843	820
388	2850	813
389	2856	805
390	2862	797
391	2868	790
392	2874	782
393	2881	775
394	2887	767
395	2893	759
396	2899	752
397	2905	744
398	2911	736
399	2917	729
400	2923	721
401	2930	714
402	2936	706
403	2942	699
404	2948	691
405	2954	683
406	2960	676
407	2966	668
408	2973	661
409	2979	654
410	2985	646
411	2992	639
412	2998	631
413	3004	624
414	3011	616
415	3017	609
416	3024	601
417	3030	594
418	3037	587
419	3043	579
420	3049	572
421	3056	564
422	3062	557
423	3068	550
424	3074	542
425	3080	535
426	3087	527
427	3093	520
428	3099	512
429	3105	505
430	3111	498
431	3118	490
432	3125	483
433	3131	476
434	3137	468
435	3144	461
436	3151	454
437	3158	447
438	3164	439
439	3172	432
440	3179	425
441	3185	418
442	3193	410
443	3200	403
444	3207	396
445	3214	389
446	3220	381
447	3226	374
448	3232	367
449	3239	359
450	3245	352
451	3251	345
452	3257	337
453	3263	330
454	3271	323
455	3278	316
456	3284	309
457	3291	301
458	3297	294
459	3303	287
460	3311	280
461	3318	272
462	3324	265
463	3331	258
464	3337	251
465	3343	243
466	3349	236
467	3355	229
468	3362	222
469	3368	215
470	3374	207
471	3380	200
472	3387	193
473	3393	186
474	3399	178
475	3406	171
476	3412	164
477	3418	157
478	3425	150
479	3431	142
480	3437	135
481	3443	128
482	3449	121
483	3455	114
484	3461	107
485	3467	99
486	3473	92
487	3479	85
488	3486	78
489	3492	71
490	3498	64
491	3504	56
492	3510	49
493	3516	42
494	3523	35
495	3529	28
496	3536	21
497	3542	14
498	3549	7
499	3556	0
