測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
26367010,2024/04/01,01,,,,,,,,,,,19,,,,,
26367010,2024/04/01,02,,,,,,,,,,,18,,,,,
26367010,2024/04/01,03,,,,,,,,,,,17,,,,,
26367010,2024/04/01,04,,,,,,,,,,,9,,,,,
26367010,2024/04/01,05,,,,,,,,,,,14,,,,,
26367010,2024/04/01,06,,,,,,,,,,,13,,,,,
26367010,2024/04/01,07,,,,,,,,,,,10,,,,,
26367010,2024/04/01,08,,,,,,,,,,,11,,,,,
26367010,2024/04/01,09,,,,,,,,,,,16,,,,,
26367010,2024/04/01,10,,,,,,,,,,,11,,,,,
26367010,2024/04/01,11,,,,,,,,,,,10,,,,,
26367010,2024/04/01,12,,,,,,,,,,,-,,,,,
26367010,2024/04/01,13,,,,,,,,,,,15,,,,,
26367010,2024/04/01,14,,,,,,,,,,,13,,,,,
26367010,2024/04/01,15,,,,,,,,,,,14,,,,,
26367010,2024/04/01,16,,,,,,,,,,,11,,,,,
26367010,2024/04/01,17,,,,,,,,,,,12,,,,,
26367010,2024/04/01,18,,,,,,,,,,,14,,,,,
26367010,2024/04/01,19,,,,,,,,,,,13,,,,,
26367010,2024/04/01,20,,,,,,,,,,,12,,,,,
26367010,2024/04/01,21,,,,,,,,,,,8,,,,,
26367010,2024/04/01,22,,,,,,,,,,,9,,,,,
26367010,2024/04/01,23,,,,,,,,,,,12,,,,,
26367010,2024/04/01,24,,,,,,,,,,,11,,,,,
26367010,2024/04/02,01,,,,,,,,,,,10,,,,,
26367010,2024/04/02,02,,,,,,,,,,,11,,,,,
26367010,2024/04/02,03,,,,,,,,,,,9,,,,,
26367010,2024/04/02,04,,,,,,,,,,,10,,,,,
26367010,2024/04/02,05,,,,,,,,,,,8,,,,,
26367010,2024/04/02,06,,,,,,,,,,,8,,,,,
26367010,2024/04/02,07,,,,,,,,,,,9,,,,,
26367010,2024/04/02,08,,,,,,,,,,,7,,,,,
26367010,2024/04/02,09,,,,,,,,,,,10,,,,,
26367010,2024/04/02,10,,,,,,,,,,,9,,,,,
26367010,2024/04/02,11,,,,,,,,,,,16,,,,,
26367010,2024/04/02,12,,,,,,,,,,,11,,,,,
26367010,2024/04/02,13,,,,,,,,,,,13,,,,,
26367010,2024/04/02,14,,,,,,,,,,,15,,,,,
